floor_lo,floor_hi_inclusive,winner,blend,nco_oh,mdi_fraction,score
0.3,0.3406249227294831,WO_INV_0419,PPG1000:50+PPG700:50,1.7,0.3406249227294831,6.315176289868768e-05
0.34062492272948314,0.3458676003316451,WO_INV_0659,PPG2000:20+PPG700:80,1.7,0.3458676003316451,9.567802556700523e-05
0.34586760033164515,0.3561067639374715,WO_INV_0579,PPG2000:60+PPG400:40,1.7,0.3561067639374715,0.000416022035072
0.35610676393747154,0.3589106609951629,WO_INV_0660,PPG2000:20+PPG700:80,1.8,0.3589106609951629,0.0007906704211501
0.35891066099516294,0.3609611144838163,WO_INV_0454,PPG1000:70+PPG700:30,2.0,0.3609611144838163,0.0014193061631902
0.36096111448381635,0.3693179488958334,WO_INV_0580,PPG2000:60+PPG400:40,1.8,0.3693179488958334,0.0016655583283342
0.36931794889583347,0.3714437465724041,WO_INV_0661,PPG2000:20+PPG700:80,1.9,0.3714437465724041,0.0024194398054454
0.37144374657240414,0.3722900584868738,WO_INV_0455,PPG1000:70+PPG700:30,2.1,0.3722900584868738,0.0029920572923178
0.37229005848687385,0.3766960684325386,WO_INV_0679,PPG2000:30+PPG700:70,2.1,0.3766960684325386,0.0037447758440579
0.37669606843253867,0.3819979080629188,WO_INV_0581,PPG2000:60+PPG400:40,1.9,0.3819979080629188,0.0038488716039611
0.38199790806291883,0.3834961930889923,WO_INV_0662,PPG2000:20+PPG700:80,2.0,0.3834961930889923,0.0049819861640085
0.38349619308899235,0.3876798116503101,WO_INV_0680,PPG2000:30+PPG700:70,2.2,0.3876798116503101,0.0057743935246414
0.3876798116503102,0.3941780510707903,WO_INV_0582,PPG2000:60+PPG400:40,2.0,0.3941780510707903,0.0069659618693382
0.39417805107079035,0.3950951288522989,WO_INV_0663,PPG2000:20+PPG700:80,2.1,0.3950951288522989,0.0084783095186822
0.39509512885229897,0.398283151401737,WO_INV_0681,PPG2000:30+PPG700:70,2.3,0.398283151401737,0.0087377881856026
0.39828315140173703,0.4,WO_INV_0583,PPG2000:60+PPG400:40,2.1,0.4058873592138702,0.0110168291135696
