scale,winner,n_admissible,winner_score
0.27,WO_INV_0579,141,0.0032221882006177715
0.2725,WO_INV_0579,141,0.003261354729340099
0.275,WO_INV_0579,141,0.003300763157304097
0.2775,WO_INV_0579,141,0.0033404134845097634
0.28,WO_INV_0579,141,0.0033803057109570993
0.28250000000000003,WO_INV_0579,141,0.0034204398366461048
0.28500000000000003,WO_INV_0579,141,0.0034608158615767794
0.28750000000000003,WO_INV_0579,141,0.0035014337857491233
0.29,WO_INV_0579,141,0.003542293609163136
0.2925,WO_INV_0579,141,0.0035833953318188186
0.295,WO_INV_0579,141,0.003624738953716171
0.2975,WO_INV_0579,141,0.003666324474855192
0.3,WO_INV_0579,141,0.0037081518952358826
0.3025,WO_INV_0579,141,0.0037502212148582425
0.305,WO_INV_0579,141,0.003792532433722272
0.3075,WO_INV_0579,141,0.0038350855518279707
0.31,WO_INV_0579,141,0.003877880569175339
0.3125,WO_INV_0579,141,0.003920917485764376
0.315,WO_INV_0579,141,0.003964196301595083
0.3175,WO_INV_0579,141,0.004007717016667459
0.32,WO_INV_0579,141,0.004051479630981504
0.3225,WO_INV_0579,141,0.004095484144537219
0.325,WO_INV_0579,141,0.004139730557334603
0.3275,WO_INV_0579,141,0.004184218869373656
0.33,WO_INV_0579,141,0.004228949080654379
0.3325,WO_INV_0579,141,0.004273921191176771
0.335,WO_INV_0579,141,0.004319135200940833
0.3375,WO_INV_0579,141,0.004364591109946563
0.34,WO_INV_0579,141,0.004410288918193964
0.3425,WO_INV_0579,141,0.004456228625683033
0.34500000000000003,WO_INV_0579,141,0.004502410232413772
0.34750000000000003,WO_INV_0579,141,0.00454883373838618
0.35000000000000003,WO_INV_0579,141,0.004595499143600258
0.3525,WO_INV_0579,141,0.004642406448056003
0.355,WO_INV_0579,141,0.004689555651753419
0.3575,WO_INV_0579,141,0.004736946754692505
0.36,WO_INV_0579,141,0.004784579756873259
0.3625,WO_INV_0579,141,0.0048324546582956835
0.365,WO_INV_0420,141,0.004877349895721974
0.3675,WO_INV_0420,141,0.004919486637725338
0.37,WO_INV_0420,141,0.004961819987728702
0.3725,WO_INV_0420,141,0.005004349945732065
0.375,WO_INV_0420,141,0.0050470765117354285
0.3775,WO_INV_0420,141,0.005089999685738792
0.38,WO_INV_0420,141,0.005133119467742156
0.3825,WO_INV_0420,141,0.005176435857745519
0.385,WO_INV_0420,141,0.0052199488557488835
0.3875,WO_INV_0420,141,0.005263658461752247
0.39,WO_INV_0420,141,0.00530756467575561
0.3925,WO_INV_0420,141,0.005351667497758974
0.395,WO_INV_0420,141,0.005395966927762338
0.3975,WO_INV_0420,141,0.005440462965765702
0.4,WO_INV_0420,141,0.0054851556117690645
0.4025,WO_INV_0420,141,0.005530044865772429
0.405,WO_INV_0420,141,0.005575130727775792
0.40750000000000003,WO_INV_0420,141,0.005620413197779155
0.41000000000000003,WO_INV_0420,141,0.00566589227578252
0.41250000000000003,WO_INV_0420,141,0.0057115679617858826
0.41500000000000004,WO_INV_0420,141,0.0057574402557892465
0.4175,WO_INV_0420,141,0.005803509157792609
0.42,WO_INV_0420,141,0.005849774667795973
0.4225,WO_INV_0420,141,0.005896236785799336
0.425,WO_INV_0420,141,0.005942895511802701
0.4275,WO_INV_0420,141,0.0059897508458060635
0.43,WO_INV_0420,141,0.006036802787809428
0.4325,WO_INV_0420,141,0.006084051337812792
0.435,WO_INV_0420,141,0.006131496495816155
0.4375,WO_INV_0420,141,0.006179138261819518
0.44,WO_INV_0420,141,0.006226976635822883
0.4425,WO_INV_0420,141,0.0062750116178262455
0.445,WO_INV_0420,141,0.006323243207829609
0.4475,WO_INV_0420,141,0.006371671405832973
0.45,WO_INV_0420,141,0.0064202962118363365
0.4525,WO_INV_0420,141,0.0064691176258397
0.455,WO_INV_0420,141,0.0065181356478430635
0.4575,WO_INV_0420,141,0.006567350277846428
0.46,WO_INV_0420,141,0.006616761515849791
0.4625,WO_INV_0420,141,0.006666369361853155
0.465,WO_INV_0420,141,0.006716173815856518
0.4675,WO_INV_0420,141,0.006766174877859882
0.47000000000000003,WO_INV_0420,141,0.0068163725478632455
0.47250000000000003,WO_INV_0420,141,0.006866766825866609
0.47500000000000003,WO_INV_0420,141,0.006917357711869973
0.47750000000000004,WO_INV_0420,141,0.006968145205873336
0.48,WO_INV_0420,141,0.007019129307876699
0.4825,WO_INV_0420,141,0.0070703100178800635
0.485,WO_INV_0420,141,0.007121687335883427
0.4875,WO_INV_0420,141,0.00717326126188679
0.49,WO_INV_0420,141,0.007225031795890154
0.4925,WO_INV_0420,141,0.007276998937893518
0.495,WO_INV_0420,141,0.007329162687896881
0.4975,WO_INV_0420,141,0.007381523045900245
0.5,WO_INV_0420,141,0.007434080011903608
0.5025000000000001,WO_INV_0420,141,0.007486833585906974
0.505,WO_INV_0420,141,0.007539783767910336
0.5075000000000001,WO_INV_0420,141,0.0075929305579137
0.51,WO_INV_0420,141,0.007646273955917063
0.5125,WO_INV_0420,141,0.007699813961920425
0.515,WO_INV_0420,141,0.00775355057592379
0.5175,WO_INV_0420,141,0.007807483797927152
0.52,WO_INV_0420,141,0.007861613627930517
0.5225,WO_INV_0420,141,0.00791594006593388
0.525,WO_INV_0420,141,0.007970463111937245
0.5275,WO_INV_0420,141,0.008025182765940607
0.53,WO_INV_0420,141,0.008080099027943972
0.5325,WO_INV_0420,141,0.008135211897947334
0.535,WO_INV_0420,141,0.008190521375950699
0.5375,WO_INV_0420,141,0.008246027461954061
0.54,WO_INV_0420,141,0.008301730155957426
0.5425,WO_INV_0420,141,0.00835762945796079
0.545,WO_INV_0420,141,0.008413725367964154
0.5475,WO_INV_0420,141,0.008470017885967516
0.55,WO_INV_0420,141,0.008526507011970882
0.5525,WO_INV_0420,141,0.008583192745974244
0.555,WO_INV_0420,141,0.008640075087977608
0.5575,WO_INV_0420,141,0.008697154037980971
0.56,WO_INV_0420,140,0.008754429595984336
0.5625,WO_INV_0420,140,0.008811901761987699
0.5650000000000001,WO_INV_0420,140,0.008869570535991064
0.5675,WO_INV_0420,140,0.008927435917994424
0.5700000000000001,WO_INV_0420,140,0.00898549790799779
0.5725,WO_INV_0420,140,0.009043756506001154
0.5750000000000001,WO_INV_0420,140,0.009102211712004519
0.5775,WO_INV_0420,140,0.00916086352600788
0.58,WO_INV_0420,140,0.009219711948011241
0.5825,WO_INV_0420,140,0.009278756978014606
0.585,WO_INV_0420,140,0.00933799861601797
0.5875,WO_INV_0420,140,0.009397436862021335
0.59,WO_INV_0420,140,0.009457071716024697
0.5925,WO_INV_0420,140,0.009516903178028061
0.595,WO_INV_0420,140,0.009576931248031424
0.5975,WO_INV_0420,140,0.009637155926034788
0.6,WO_INV_0420,139,0.009697577212038152
0.6025,WO_INV_0420,139,0.009758195106041517
0.605,WO_INV_0420,139,0.009819009608044878
0.6075,WO_INV_0420,139,0.009880020718048244
0.61,WO_INV_0420,139,0.009941228436051606
0.6125,WO_INV_0420,139,0.010002632762054972
0.615,WO_INV_0420,139,0.010064233696058335
0.6175,WO_INV_0420,139,0.0101260312380617
0.62,WO_INV_0420,139,0.010188025388065059
0.6225,WO_INV_0420,139,0.010250216146068426
0.625,WO_INV_0420,139,0.010312603512071788
0.6275000000000001,WO_INV_0420,139,0.010375187486075153
0.63,WO_INV_0420,139,0.010437968068078516
0.6325000000000001,WO_INV_0420,139,0.01050094525808188
0.635,WO_INV_0420,139,0.010564119056085243
0.6375000000000001,WO_INV_0420,139,0.010627489462088607
0.64,WO_INV_0420,139,0.010691056476091969
0.6425,WO_INV_0420,139,0.010754820098095332
0.645,WO_INV_0420,139,0.010818780328098698
0.6475,WO_INV_0420,139,0.010882937166102058
0.65,WO_INV_0420,139,0.010947290612105424
0.6525,WO_INV_0420,139,0.011011840666108788
0.655,WO_INV_0420,139,0.011076587328112151
0.6575,WO_INV_0420,139,0.011141530598115516
0.66,WO_INV_0420,139,0.011206670476118879
0.6625,WO_INV_0420,139,0.01127200696212224
0.665,WO_INV_0420,138,0.011337540056125608
0.6675,WO_INV_0420,138,0.01140326975812897
0.67,WO_INV_0420,138,0.011469196068132334
0.6725,WO_INV_0420,138,0.011535318986135697
0.675,WO_INV_0420,138,0.011601638512139061
0.6775,WO_INV_0420,138,0.011668154646142423
0.68,WO_INV_0420,138,0.01173486738814579
0.6825,WO_INV_0420,138,0.011801776738149151
0.685,WO_INV_0420,138,0.011868882696152515
0.6875,WO_INV_0420,137,0.011936185262155877
0.6900000000000001,WO_INV_0420,136,0.012003684436159241
0.6925,WO_INV_0420,136,0.012071380218162606
0.6950000000000001,WO_INV_0420,136,0.012139272608165972
0.6975,WO_INV_0420,136,0.012207361606169333
0.7000000000000001,WO_INV_0420,136,0.012275647212172698
0.7025,WO_INV_0420,136,0.012344129426176059
0.705,WO_INV_0420,136,0.012412808248179422
0.7075,WO_INV_0420,136,0.012481683678182788
0.71,WO_INV_0420,136,0.012550755716186149
0.7125,WO_INV_0420,136,0.012620024362189515
0.715,WO_INV_0420,136,0.012689489616192878
0.7175,WO_INV_0420,136,0.012759151478196241
0.72,WO_INV_0420,135,0.012829009948199603
0.7225,WO_INV_0420,135,0.01289906502620297
0.725,WO_INV_0420,135,0.01296931671220633
0.7275,WO_INV_0420,135,0.013039765006209696
0.73,WO_INV_0420,135,0.013110409908213057
0.7325,WO_INV_0420,135,0.013181251418216425
0.735,WO_INV_0420,134,0.013252289536219786
0.7375,WO_INV_0420,134,0.013323524262223153
0.74,WO_INV_0420,134,0.013394955596226514
0.7425,WO_INV_0420,134,0.013466583538229878
0.745,WO_INV_0420,134,0.01353840808823324
0.7475,WO_INV_0420,134,0.013610429246236606
0.75,WO_INV_0420,134,0.013682647012239969
0.7525000000000001,WO_INV_0420,134,0.013755061386243333
0.755,WO_INV_0420,133,0.013827672368246696
0.7575000000000001,WO_INV_0420,132,0.01390047995825006
0.76,WO_INV_0420,132,0.013973484156253421
0.7625000000000001,WO_INV_0420,132,0.014046684962256788
0.765,WO_INV_0420,132,0.01412008237626015
0.7675000000000001,WO_INV_0420,132,0.014193676398263515
0.77,WO_INV_0420,132,0.014267467028266879
0.7725,WO_INV_0420,132,0.014341454266270239
0.775,WO_INV_0420,132,0.014415638112273605
0.7775,WO_INV_0420,132,0.014490018566276967
0.78,WO_INV_0420,132,0.014564595628280332
0.7825,WO_INV_0420,132,0.014639369298283696
0.785,WO_INV_0420,131,0.01471433957628706
0.7875,WO_INV_0420,131,0.014789506462290422
0.79,WO_INV_0420,131,0.014864869956293787
0.7925,WO_INV_0420,131,0.01494043005829715
0.795,WO_INV_0420,131,0.015016186768300514
0.7975,WO_INV_0420,131,0.015092140086303876
0.8,WO_INV_0420,131,0.01516829001230724
0.8025,WO_INV_0420,131,0.015244636546310603
0.805,WO_INV_0420,131,0.015321179688313969
0.8075,WO_INV_0420,131,0.01539791943831733
0.81,WO_INV_0420,131,0.015474855796320696
0.8125,WO_INV_0420,131,0.015551988762324057
0.8150000000000001,WO_INV_0420,131,0.01562931833632742
