winner,count,fraction
WO_INV_0420,22077,0.44154
WO_INV_0341,18125,0.3625
WO_INV_0470,2841,0.05682
WO_INV_0404,2730,0.0546
WO_INV_0437,1424,0.02848
WO_INV_0677,1201,0.02402
WO_INV_0454,1135,0.0227
WO_INV_0472,348,0.00696
WO_INV_0359,64,0.00128
WO_INV_0680,31,0.00062
WO_INV_0389,20,0.0004
WO_INV_0374,4,8e-05
