floor_lo,floor_hi_inclusive,winner,blend,nco_oh,mdi_fraction,score
0.3,0.34062492272948314,WO_INV_0419,PPG1000:50+PPG700:50,1.7,0.34062492272948314,0.017854754394503375
0.3406249227294832,0.3454083669902532,WO_INV_0436,PPG1000:60+PPG700:40,1.8,0.3454083669902532,0.019645168923641904
0.34540836699025323,0.3458676003316451,WO_INV_0659,PPG2000:20+PPG700:80,1.7,0.3458676003316451,0.021047206551416255
0.34586760033164515,0.3535771424877584,WO_INV_0420,PPG1000:50+PPG700:50,1.8,0.3535771424877584,0.021897294012576327
0.35357714248775846,0.35773305458947896,WO_INV_0437,PPG1000:60+PPG700:40,1.9,0.35773305458947896,0.02275058726181814
0.357733054589479,0.36096111448381635,WO_INV_0454,PPG1000:70+PPG700:30,2.0,0.36096111448381635,0.024571588698084082
0.3609611144838164,0.36531107690843023,WO_INV_0342,PPG1000:90+PPG400:10,2.0,0.36531107690843023,0.026053739762955073
0.3653110769084303,0.3660303195999652,WO_INV_0421,PPG1000:50+PPG700:50,1.9,0.3660303195999652,0.026668858100256994
0.36603031959996524,0.36960221900018914,WO_INV_0438,PPG1000:60+PPG700:40,2.0,0.36960221900018914,0.027371286094067034
0.3696022190001892,0.3722900584868738,WO_INV_0455,PPG1000:70+PPG700:30,2.1,0.3722900584868738,0.028426927459665956
0.37229005848687385,0.3741159387635035,WO_INV_0472,PPG1000:80+PPG700:20,2.2,0.3741159387635035,0.030294544155228833
0.3741159387635036,0.37669606843253867,WO_INV_0343,PPG1000:90+PPG400:10,2.1,0.37669606843253867,0.03100391226030825
0.3766960684325387,0.37801275073860985,WO_INV_0422,PPG1000:50+PPG700:50,2.0,0.37801275073860985,0.03216944664223154
0.3780127507386099,0.381040656344488,WO_INV_0439,PPG1000:60+PPG700:40,2.1,0.381040656344488,0.03272100938095399
0.3810406563444881,0.38322431823158076,WO_INV_0456,PPG1000:70+PPG700:30,2.2,0.38322431823158076,0.03361259023686425
0.3832243182315808,0.38349619308899235,WO_INV_0662,PPG2000:20+PPG700:80,2.0,0.38349619308899235,0.035257235777049326
0.3834961930889924,0.3876798116503101,WO_INV_0680,PPG2000:30+PPG700:70,2.2,0.3876798116503101,0.03597151801270447
0.3876798116503102,0.38955063295968745,WO_INV_0423,PPG1000:50+PPG700:50,2.1,0.38955063295968745,0.03839905966870999
0.3895506329596875,0.3920713951353554,WO_INV_0440,PPG1000:60+PPG700:40,2.2,0.3920713951353554,0.03879975713886814
0.39207139513535544,0.3941780510707903,WO_INV_0582,PPG2000:60+PPG400:40,2.0,0.3941780510707903,0.041210216808400486
0.39417805107079035,0.3950951288522989,WO_INV_0663,PPG2000:20+PPG700:80,2.1,0.3950951288522989,0.04156430857167801
0.39509512885229897,0.398283151401737,WO_INV_0681,PPG2000:30+PPG700:70,2.3,0.398283151401737,0.04431946235779208
0.39828315140173703,0.4,WO_INV_0424,PPG1000:50+PPG700:50,2.2,0.40066825489579116,0.04535769714487605
