cid,blend,nco_oh,mdi_fraction,eta80,eta120,ratio,unc_radius,domain_ratio,pareto5,property_score,robust_score
WO_INV_0373,PPG1000:20+PPG700:80,1.9,0.3896838257059069,2.8012749128,0.3477179305,8.0561704387,0.051381667,0.5431770923,False,0.01633739400225,0.0518067213115521
WO_INV_0343,PPG1000:90+PPG400:10,2.1,0.3766960684325386,3.3275286029,0.3786498101,8.7878787043,0.048574832,0.4554635,True,0.0038660905773729,0.0310039122603082
WO_INV_0459,PPG1000:70+PPG700:30,2.5,0.4138550023812141,3.0737215625,0.3288901204,9.3457400261,0.0509504307,0.5297009604,False,0.0186208316961818,0.0630058535629544
WO_INV_0438,PPG1000:60+PPG700:40,2.0,0.3696022190001891,3.3303139048,0.3866799783,8.612584286,0.0489646908,0.467646587,True,0.0025431051573215,0.027371286094067
WO_INV_0443,PPG1000:60+PPG700:40,2.5,0.4229243309528961,2.9222894736,0.3165867898,9.2306109017,0.0503646908,0.511396587,False,0.0247878778761414,0.0712791443079698
WO_INV_0325,PPG1000:80+PPG400:20,1.9,0.3819979080629188,2.9845080776,0.3626979293,8.2286327997,0.0515919292,0.5497477878,True,0.0090766507197743,0.0397450200774446
WO_INV_0421,PPG1000:50+PPG700:50,1.9,0.3660303195999652,3.2514756792,0.387685955,8.3868802495,0.0498,0.49375,True,0.0025409972487003,0.0266688581002569
WO_INV_0473,PPG1000:80+PPG700:20,2.3,0.3845812998873784,3.4077112299,0.3703991177,9.2001062294,0.04875885,0.4612140638,False,0.0063006446588175,0.03740262758528
WO_INV_0474,PPG1000:80+PPG700:20,2.4,0.3947024357173986,3.3197883616,0.3558755605,9.3285089782,0.05015885,0.5049640638,False,0.0096495997388681,0.0461551854774308
WO_INV_0455,PPG1000:70+PPG700:30,2.1,0.3722900584868738,3.4125111049,0.3859561317,8.8417071916,0.0481504307,0.4422009604,True,0.0029920572923178,0.0284269274596659
WO_INV_0663,PPG2000:20+PPG700:80,2.1,0.3950951288522989,3.1441628557,0.3577090359,8.7897216464,0.0497654941,0.4926716892,False,0.0084783095186822,0.041564308571678
WO_INV_0393,PPG1000:30+PPG700:70,2.3,0.4279986100366224,2.6517950964,0.3071208989,8.6343687632,0.0480719292,0.4397477878,False,0.0341969189713327,0.0776573015013738
WO_INV_0665,PPG2000:20+PPG700:80,2.3,0.4170311436537281,2.9840098884,0.3302070583,9.0367840837,0.0497654941,0.4926716892,False,0.0182722871836578,0.0594726397132904
WO_INV_0376,PPG1000:20+PPG700:80,2.2,0.4250593626208094,2.5899928773,0.3083981388,8.3982117644,0.047181667,0.4119270923,True,0.0357603668003769,0.0766872185214869
WO_INV_0388,PPG1000:30+PPG700:70,1.8,0.3693179488958334,3.0220517721,0.3751183131,8.0562629625,0.0522719292,0.5709977878,False,0.006618758246461,0.0360926970922944
WO_INV_0410,PPG1000:40+PPG700:60,2.4,0.4302124168110128,2.7146581423,0.3059583483,8.8726395528,0.0489451021,0.4670344417,False,0.0330936906799169,0.0790796523852413
WO_INV_0472,PPG1000:80+PPG700:20,2.2,0.3741159387635035,3.4979626897,0.3855153924,9.0734708869,0.04735885,0.4174640638,True,0.003885466580987,0.0302945441552288
WO_INV_0475,PPG1000:80+PPG700:20,2.5,0.4044960547863629,3.2341340044,0.3419214802,9.4587038005,0.05155885,0.5487140638,False,0.0139323317931863,0.0560933128576734
WO_INV_0372,PPG1000:20+PPG700:80,1.8,0.3769043361227249,2.8754652221,0.3619085685,7.9452808601,0.052781667,0.5869270923,False,0.0117306236956909,0.0468483876809174
WO_INV_0584,PPG2000:60+PPG400:40,2.2,0.417152615673349,3.0209018476,0.3354872628,9.0045202393,0.0497919292,0.4934977878,False,0.0160014733430744,0.055704719795249
WO_INV_0329,PPG1000:80+PPG400:20,2.3,0.4279986100366224,2.6882101038,0.3090707877,8.6977165439,0.0487919292,0.4622477878,False,0.0322396824371068,0.0763351359030729
WO_INV_0347,PPG1000:90+PPG400:10,2.5,0.4184250222634171,2.9971760097,0.3226640839,9.2888429771,0.051374832,0.5429635,False,0.0215153439614029,0.0678340866529488
WO_INV_0427,PPG1000:50+PPG700:50,2.5,0.4317172793464748,2.7794968456,0.3049645736,9.1141630424,0.0498,0.49375,False,0.0323851813673327,0.080872981392253
WO_INV_0404,PPG1000:40+PPG700:60,1.8,0.3615445514212018,3.1756268913,0.3889492903,8.1646296079,0.0517451021,0.5545344417,True,0.0029900786128438,0.0271646782520949
WO_INV_0357,PPG1000:10+PPG700:90,1.9,0.3971809165562754,2.6631920751,0.3354789157,7.9384782492,0.0518753893,0.5586059162,False,0.0239880868042532,0.0651703514832522
WO_INV_0583,PPG2000:60+PPG400:40,2.1,0.4058873592138702,3.100908862,0.3491787577,8.8805770503,0.0511919292,0.5372477878,False,0.0110168291135696,0.0480929560696588
WO_INV_0358,PPG1000:10+PPG700:90,2.0,0.4095243718815505,2.5944786571,0.3223245992,8.0492728861,0.0504753893,0.5148559162,False,0.0304908072442125,0.0718220644229108
WO_INV_0647,PPG2000:10+PPG700:90,2.1,0.4124391048215981,2.7651759766,0.3275803813,8.4412136212,0.0508978506,0.5280578301,False,0.0227743289435511,0.0629500349879522
WO_INV_0460,PPG1000:70+PPG700:30,2.6,0.4234001516457601,2.9944160116,0.3159941543,9.4761753363,0.0523504307,0.5734509604,False,0.0248624677723131,0.075174747034988
WO_INV_0324,PPG1000:80+PPG400:20,1.8,0.3693179488958334,3.063551222,0.3774999126,8.115369354,0.0529919292,0.5934977878,False,0.005620335257959,0.0341371775927552
WO_INV_0662,PPG2000:20+PPG700:80,2.0,0.3834961930889923,3.2274343738,0.3723074186,8.6687350639,0.0511654941,0.5364216892,False,0.0049819861640085,0.0352572357770493
WO_INV_0356,PPG1000:10+PPG700:90,1.8,0.3843103814505031,2.7337253322,0.3491700699,7.8292086509,0.0532753893,0.6023559162,False,0.0184191433885115,0.0593824974423358
WO_INV_0646,PPG2000:10+PPG700:90,2.0,0.4006682548957911,2.8384102243,0.3409491903,8.3250240956,0.0522978506,0.5718078301,False,0.0168953844121702,0.0543518389219237
WO_INV_0648,PPG2000:10+PPG700:90,2.2,0.4237565025477165,2.6938312566,0.3147357708,8.5590247644,0.0494978506,0.4843078301,False,0.0295870504677061,0.0722772555254204
WO_INV_0666,PPG2000:20+PPG700:80,2.4,0.4274131672068069,2.9070190019,0.3172594543,9.1629074009,0.0511654941,0.5364216892,False,0.0245699415138052,0.0715304431331519
WO_INV_0342,PPG1000:90+PPG400:10,2.0,0.3653110769084302,3.4156564675,0.394102802,8.6669174891,0.049974832,0.4992135,True,0.0017882196957795,0.026053739762955
WO_INV_0444,PPG1000:60+PPG700:40,2.6,0.4325243021467605,2.8468910448,0.3041732442,9.3594393938,0.0517646908,0.555146587,False,0.0320381633851429,0.084476745718919
WO_INV_0371,PPG1000:20+PPG700:80,1.7,0.3635782178280834,2.9516204231,0.3766783373,7.8359176269,0.054181667,0.6306770923,False,0.0080576303969144,0.0427539129299722
WO_INV_0359,PPG1000:10+PPG700:90,2.1,0.4213724755566035,2.5275381243,0.3096860709,8.1616138459,0.0490753893,0.4711059162,True,0.0379273046500952,0.0794810228032628
WO_INV_0585,PPG2000:60+PPG400:40,2.3,0.4279986100366224,2.9429591061,0.322332619,9.1301932611,0.0511919292,0.5372477878,False,0.0219198945880404,0.0673429578420425
WO_INV_0490,PPG1000:90+PPG700:10,2.4,0.3851224221257547,3.4928198167,0.3701925309,9.4351439452,0.050791776,0.5247429986,False,0.0075205044398811,0.042063264053435
