cid,strict_smax,strict_bottleneck,blend,nco_oh,mdi_fraction
WO_INV_0582,0.3356200373909933,ratio,PPG2000:60+PPG400:40,2.0,0.3941780510707903
WO_INV_0440,0.330895061642668,ratio,PPG1000:60+PPG700:40,2.2,0.3920713951353554
WO_INV_0354,0.3261773478891296,ratio,PPG1000:10+PPG700:90,1.6,0.3568470067659695
WO_INV_0310,0.32390721682402135,eta120,PPG1000:70+PPG400:30,2.0,0.4205333990062148
WO_INV_0455,0.3238545994198382,ratio,PPG1000:70+PPG700:30,2.1,0.3722900584868738
WO_INV_0051,0.3227847697942936,ratio,PPG700:100,1.7,0.3780127507386098
WO_INV_0425,0.31963399667451836,ratio,PPG1000:50+PPG700:50,2.3,0.4113881674306357
WO_INV_0306,0.31922152536222054,ratio,PPG1000:70+PPG400:30,1.6,0.3673208569006315
WO_INV_0470,0.31887631956873236,ratio,PPG1000:80+PPG700:20,2.0,0.352079823765712
WO_INV_0054,0.2984247985109211,eta120,PPG700:100,2.0,0.4169096209912536
WO_INV_0788,0.29494723512445,ratio,PPG400:10+PPG700:90,1.8,0.4089004810072336
WO_INV_0344,0.2948623061773925,ratio,PPG1000:90+PPG400:10,2.2,0.38767981165031
WO_INV_0664,0.286661926047797,ratio,PPG2000:20+PPG700:80,2.2,0.4062656782969325
WO_INV_0583,0.28600620317350633,ratio,PPG2000:60+PPG400:40,2.1,0.4058873592138702
WO_INV_0359,0.2812085144934573,eta120,PPG1000:10+PPG700:90,2.1,0.4213724755566035
WO_INV_0677,0.27915171630501395,ratio,PPG2000:30+PPG700:70,1.9,0.3535024409323465
WO_INV_0456,0.26917489993694715,ratio,PPG1000:70+PPG700:30,2.2,0.3832243182315807
WO_INV_0471,0.2663059842644345,ratio,PPG1000:80+PPG700:20,2.1,0.3632884876191446
WO_INV_0329,0.26514024933597,eta120,PPG1000:80+PPG400:20,2.3,0.4279986100366224
WO_INV_0050,0.26078688053977966,ratio,PPG700:100,1.6,0.3638676844783715
WO_INV_0305,0.26054353811654174,ratio,PPG1000:70+PPG400:30,1.5,0.3524548033688539
WO_INV_0441,0.25787978562911745,ratio,PPG1000:60+PPG700:40,2.3,0.4027158510253875
WO_INV_0376,0.25413459163493496,eta120,PPG1000:20+PPG700:80,2.2,0.4250593626208094
WO_INV_0426,0.2482045847397757,ratio,PPG1000:50+PPG700:50,2.4,0.4217313363788815
WO_INV_0546,0.24722897233046465,ratio,PPG2000:40+PPG400:60,1.6,0.4050027369874099
WO_INV_0291,0.24449288576890413,ratio,PPG1000:60+PPG400:40,1.7,0.4050027369874099
WO_INV_0787,0.2341445391093379,ratio,PPG400:10+PPG700:90,1.7,0.3951605281760686
WO_INV_0584,0.23360238390012422,ratio,PPG2000:60+PPG400:40,2.2,0.417152615673349
WO_INV_0678,0.22845203461755753,ratio,PPG2000:30+PPG700:70,2.0,0.3653110769084303
WO_INV_0345,0.2244039426693244,ratio,PPG1000:90+PPG400:10,2.3,0.3982831514017369
WO_INV_0665,0.21812000357841566,ratio,PPG2000:20+PPG700:80,2.3,0.4170311436537281
WO_INV_0547,0.21444506293980112,eta120,PPG2000:40+PPG400:60,1.7,0.4196918854065566
WO_INV_0487,0.21292259942377073,ratio,PPG1000:90+PPG700:10,2.1,0.3540249895432795
WO_INV_0393,0.21193481685506435,eta120,PPG1000:30+PPG700:70,2.3,0.4279986100366224
WO_INV_0472,0.21062753000762388,ratio,PPG1000:80+PPG700:20,2.2,0.3741159387635035
WO_INV_0457,0.19884238677168103,ratio,PPG1000:70+PPG700:30,2.3,0.3937841659455224
WO_INV_0545,0.19463643167372316,ratio,PPG2000:40+PPG400:60,1.5,0.3895506329596874
WO_INV_0442,0.1890398198303627,ratio,PPG1000:60+PPG700:40,2.4,0.412993965577966
WO_INV_0290,0.18773256579037007,ratio,PPG1000:60+PPG400:40,1.6,0.3904817632143553
WO_INV_0786,0.17629288642430882,ratio,PPG400:10+PPG700:90,1.6,0.3807666109356616
WO_INV_0679,0.1749275677220184,ratio,PPG2000:30+PPG700:70,2.1,0.3766960684325386
WO_INV_0410,0.17450271129529416,eta120,PPG1000:40+PPG700:60,2.4,0.4302124168110128
WO_INV_0585,0.16842142019320364,ratio,PPG2000:60+PPG400:40,2.3,0.4279986100366224
WO_INV_0346,0.15789323460545576,ratio,PPG1000:90+PPG400:10,2.4,0.4085255132519858
WO_INV_0488,0.1564211625095296,ratio,PPG1000:90+PPG700:10,2.2,0.3647345066686995
WO_INV_0666,0.1533289954373391,ratio,PPG2000:20+PPG700:80,2.4,0.4274131672068069
WO_INV_0427,0.14313529051557206,eta120,PPG1000:50+PPG700:50,2.5,0.4317172793464748
WO_INV_0473,0.1428536903093369,ratio,PPG1000:80+PPG700:20,2.3,0.3845812998873784
WO_INV_0292,0.13409441012206696,eta120,PPG1000:60+PPG400:40,1.8,0.418847924124785
WO_INV_0289,0.13360112100522578,ratio,PPG1000:60+PPG400:40,1.5,0.3752342871423216
WO_INV_0458,0.13248422930527998,ratio,PPG1000:70+PPG700:30,2.4,0.4039885088984515
WO_INV_0443,0.12402697772606834,ratio,PPG1000:60+PPG700:40,2.5,0.4229243309528961
WO_INV_0785,0.12118252498489754,ratio,PPG400:10+PPG700:90,1.5,0.3656709021349138
WO_INV_0680,0.11833547161677622,ratio,PPG2000:30+PPG700:70,2.2,0.3876798116503101
WO_INV_0008,0.1150581193647163,ratio,PPG1000:100,2.2,0.3550675566734385
WO_INV_0598,0.10932252613590314,ratio,PPG2000:70+PPG400:30,2.0,0.3550675566734384
WO_INV_0586,0.10671069807103739,ratio,PPG2000:60+PPG400:40,2.4,0.4384483203989263
WO_INV_0347,0.09500745290019837,ratio,PPG1000:90+PPG400:10,2.5,0.4184250222634171
WO_INV_0802,0.09456860840691561,ratio,PPG400:20+PPG700:80,1.6,0.3967909277355531
WO_INV_0667,0.09198920226156619,ratio,PPG2000:20+PPG700:80,2.5,0.4374318765162969
WO_INV_0489,0.09105227256976531,ratio,PPG1000:90+PPG700:10,2.3,0.375094712207681
WO_INV_0474,0.07886316605953264,ratio,PPG1000:80+PPG700:20,2.4,0.3947024357173986
WO_INV_0459,0.06977280922608729,ratio,PPG1000:70+PPG700:30,2.5,0.4138550023812141
WO_INV_0649,0.06784315502224218,eta120,PPG2000:10+PPG700:90,2.3,0.4346461556291928
WO_INV_0803,0.06676169370133374,eta80,PPG400:20+PPG700:80,1.7,0.4113881674306357
WO_INV_0444,0.06253074042648574,ratio,PPG1000:60+PPG700:40,2.6,0.4325243021467605
WO_INV_0681,0.055150192220274084,ratio,PPG2000:30+PPG700:70,2.3,0.398283151401737
WO_INV_0599,0.05403985536824184,ratio,PPG2000:70+PPG400:30,2.1,0.3663175604493442
WO_INV_0009,0.050782912601784996,ratio,PPG1000:100,2.3,0.3653110769084302
WO_INV_0801,0.04233144192342127,ratio,PPG400:20+PPG700:80,1.5,0.3814512699578614
WO_INV_0348,0.03545811362820609,ratio,PPG1000:90+PPG400:10,2.6,0.4279986100366224
WO_INV_0789,0.03132155056506466,eta120,PPG400:10+PPG700:90,1.9,0.4220300472129205
WO_INV_0490,0.02928697570093432,ratio,PPG1000:90+PPG700:10,2.4,0.3851224221257547
WO_INV_0567,0.026725227753821638,eta120,PPG2000:50+PPG400:50,2.1,0.4408057988438659
WO_INV_0695,0.02022454509385993,ratio,PPG2000:40+PPG700:60,2.1,0.3571426275509385
WO_INV_0273,0.018767701982833496,ratio,PPG1000:50+PPG400:50,1.5,0.3964655513853001
WO_INV_0475,0.018347767151428263,ratio,PPG1000:80+PPG700:20,2.5,0.4044960547863629
WO_INV_0460,0.010415554001062043,ratio,PPG1000:70+PPG700:30,2.6,0.4234001516457601
