source_candidate_id,blend,nco_oh,mdi_parts,PPG400,PPG700,PPG1000,PPG2000,mdi_fraction_total
WO_INV_0069,PPG1000:10+PPG2000:90,1.9,26.151125,0,0,10,90,0.2072999745
WO_INV_0070,PPG1000:10+PPG2000:90,2,27.5275,0,0,10,90,0.2158554037
WO_INV_0071,PPG1000:10+PPG2000:90,2.1,28.903875,0,0,10,90,0.2242281312
WO_INV_0072,PPG1000:10+PPG2000:90,2.2,30.28025,0,0,10,90,0.2324239476
WO_INV_0073,PPG1000:10+PPG2000:90,2.3,31.656625,0,0,10,90,0.2404484013
WO_INV_0074,PPG1000:10+PPG2000:90,2.4,33.033,0,0,10,90,0.2483068111
WO_INV_0075,PPG1000:10+PPG2000:90,2.5,34.409375,0,0,10,90,0.256004278
WO_INV_0076,PPG1000:10+PPG2000:90,2.6,35.78575,0,0,10,90,0.2635456961
WO_INV_0077,PPG1000:10+PPG2000:90,2.7,37.162125,0,0,10,90,0.2709357631
WO_INV_0078,PPG1000:10+PPG2000:90,2.8,38.5385,0,0,10,90,0.27817899
WO_INV_0079,PPG1000:10+PPG2000:90,2.9,39.914875,0,0,10,90,0.2852797103
WO_INV_0080,PPG1000:10+PPG2000:90,3,41.29125,0,0,10,90,0.2922420886
WO_INV_0081,PPG1000:20+PPG2000:80,1.5,22.5225,0,0,20,80,0.1838233794
WO_INV_0082,PPG1000:20+PPG2000:80,1.6,24.024,0,0,20,80,0.1937044443
WO_INV_0083,PPG1000:20+PPG2000:80,1.7,25.5255,0,0,20,80,0.2033491203
WO_INV_0084,PPG1000:20+PPG2000:80,1.8,27.027,0,0,20,80,0.21276579
WO_INV_0085,PPG1000:20+PPG2000:80,1.9,28.5285,0,0,20,80,0.2219624441
WO_INV_0086,PPG1000:20+PPG2000:80,2,30.03,0,0,20,80,0.2309467046
WO_INV_0087,PPG1000:20+PPG2000:80,2.1,31.5315,0,0,20,80,0.2397258451
WO_INV_0088,PPG1000:20+PPG2000:80,2.2,33.033,0,0,20,80,0.2483068111
WO_INV_0089,PPG1000:20+PPG2000:80,2.3,34.5345,0,0,20,80,0.2566962378
WO_INV_0090,PPG1000:20+PPG2000:80,2.4,36.036,0,0,20,80,0.2649004675
WO_INV_0091,PPG1000:20+PPG2000:80,2.5,37.5375,0,0,20,80,0.2729255658
WO_INV_0092,PPG1000:20+PPG2000:80,2.6,39.039,0,0,20,80,0.2807773359
WO_INV_0093,PPG1000:20+PPG2000:80,2.7,40.5405,0,0,20,80,0.2884613332
WO_INV_0094,PPG1000:20+PPG2000:80,2.8,42.042,0,0,20,80,0.2959828783
WO_INV_0095,PPG1000:20+PPG2000:80,2.9,43.5435,0,0,20,80,0.303347069
WO_INV_0096,PPG1000:20+PPG2000:80,3,45.045,0,0,20,80,0.3105587921
WO_INV_0097,PPG1000:30+PPG2000:70,1.5,24.399375,0,0,30,70,0.1961374404
WO_INV_0098,PPG1000:30+PPG2000:70,1.6,26.026,0,0,30,70,0.2065129418
WO_INV_0099,PPG1000:30+PPG2000:70,1.7,27.652625,0,0,30,70,0.2166240216
WO_INV_0100,PPG1000:30+PPG2000:70,1.8,29.27925,0,0,30,70,0.226480661
WO_INV_0101,PPG1000:30+PPG2000:70,1.9,30.905875,0,0,30,70,0.236092345
WO_INV_0102,PPG1000:30+PPG2000:70,2,32.5325,0,0,30,70,0.2454680927
WO_INV_0103,PPG1000:30+PPG2000:70,2.1,34.159125,0,0,30,70,0.2546164862
WO_INV_0104,PPG1000:30+PPG2000:70,2.2,35.78575,0,0,30,70,0.2635456961
WO_INV_0105,PPG1000:30+PPG2000:70,2.3,37.412375,0,0,30,70,0.2722635061
WO_INV_0106,PPG1000:30+PPG2000:70,2.4,39.039,0,0,30,70,0.2807773359
WO_INV_0107,PPG1000:30+PPG2000:70,2.5,40.665625,0,0,30,70,0.2890942617
WO_INV_0108,PPG1000:30+PPG2000:70,2.6,42.29225,0,0,30,70,0.2972210363
WO_INV_0109,PPG1000:30+PPG2000:70,2.7,43.918875,0,0,30,70,0.3051641072
WO_INV_0110,PPG1000:30+PPG2000:70,2.8,45.5455,0,0,30,70,0.3129296337
WO_INV_0111,PPG1000:30+PPG2000:70,2.9,47.172125,0,0,30,70,0.3205235027
WO_INV_0112,PPG1000:30+PPG2000:70,3,48.79875,0,0,30,70,0.3279513437
WO_INV_0113,PPG1000:40+PPG2000:60,1.5,26.27625,0,0,40,60,0.2080854476
WO_INV_0114,PPG1000:40+PPG2000:60,1.6,28.028,0,0,40,60,0.2189208611
WO_INV_0115,PPG1000:40+PPG2000:60,1.7,29.77975,0,0,40,60,0.2294637646
WO_INV_0116,PPG1000:40+PPG2000:60,1.8,31.5315,0,0,40,60,0.2397258451
WO_INV_0117,PPG1000:40+PPG2000:60,1.9,33.28325,0,0,40,60,0.2497181754
WO_INV_0118,PPG1000:40+PPG2000:60,2,35.035,0,0,40,60,0.2594512534
WO_INV_0119,PPG1000:40+PPG2000:60,2.1,36.78675,0,0,40,60,0.2689350394
WO_INV_0120,PPG1000:40+PPG2000:60,2.2,38.5385,0,0,40,60,0.27817899
WO_INV_0121,PPG1000:40+PPG2000:60,2.3,40.29025,0,0,40,60,0.2871920893
WO_INV_0122,PPG1000:40+PPG2000:60,2.4,42.042,0,0,40,60,0.2959828783
WO_INV_0123,PPG1000:40+PPG2000:60,2.5,43.79375,0,0,40,60,0.3045594819
WO_INV_0124,PPG1000:40+PPG2000:60,2.6,45.5455,0,0,40,60,0.3129296337
WO_INV_0125,PPG1000:40+PPG2000:60,2.7,47.29725,0,0,40,60,0.3211006994
WO_INV_0126,PPG1000:40+PPG2000:60,2.8,49.049,0,0,40,60,0.3290796986
WO_INV_0127,PPG1000:40+PPG2000:60,2.9,50.80075,0,0,40,60,0.3368733246
WO_INV_0128,PPG1000:40+PPG2000:60,3,52.5525,0,0,40,60,0.3444879632
WO_INV_0129,PPG1000:50+PPG2000:50,1.5,28.153125,0,0,50,50,0.2196834841
WO_INV_0130,PPG1000:50+PPG2000:50,1.6,30.03,0,0,50,50,0.2309467046
WO_INV_0131,PPG1000:50+PPG2000:50,1.7,31.906875,0,0,50,50,0.2418894011
WO_INV_0132,PPG1000:50+PPG2000:50,1.8,33.78375,0,0,50,50,0.2525250638
WO_INV_0133,PPG1000:50+PPG2000:50,1.9,35.660625,0,0,50,50,0.262866436
WO_INV_0134,PPG1000:50+PPG2000:50,2,37.5375,0,0,50,50,0.2729255658
WO_INV_0135,PPG1000:50+PPG2000:50,2.1,39.414375,0,0,50,50,0.2827138521
WO_INV_0136,PPG1000:50+PPG2000:50,2.2,41.29125,0,0,50,50,0.2922420886
WO_INV_0137,PPG1000:50+PPG2000:50,2.3,43.168125,0,0,50,50,0.3015205026
WO_INV_0138,PPG1000:50+PPG2000:50,2.4,45.045,0,0,50,50,0.3105587921
WO_INV_0139,PPG1000:50+PPG2000:50,2.5,46.921875,0,0,50,50,0.3193661597
WO_INV_0140,PPG1000:50+PPG2000:50,2.6,48.79875,0,0,50,50,0.3279513437
WO_INV_0141,PPG1000:50+PPG2000:50,2.7,50.675625,0,0,50,50,0.3363226467
WO_INV_0142,PPG1000:50+PPG2000:50,2.8,52.5525,0,0,50,50,0.3444879632
WO_INV_0143,PPG1000:50+PPG2000:50,2.9,54.429375,0,0,50,50,0.3524548034
WO_INV_0144,PPG1000:50+PPG2000:50,3,56.30625,0,0,50,50,0.3602303171
WO_INV_0145,PPG1000:60+PPG2000:40,1.5,30.03,0,0,60,40,0.2309467046
