cid,blend,nco_oh,nominal_rank,robust_rank,property_score,robust_score
WO_INV_0645,PPG2000:10+PPG700:90,1.9,63.0,59.0,0.011950216878037311,0.04648266733728022
WO_INV_0664,PPG2000:20+PPG700:80,2.2,64.0,65.0,0.012908409877992811,0.04860040585753264
WO_INV_0441,PPG1000:60+PPG700:40,2.3,65.0,64.0,0.013088637826608228,0.04844065002339059
WO_INV_0424,PPG1000:50+PPG700:50,2.2,66.0,55.0,0.01326109288256663,0.04535769714487605
WO_INV_0458,PPG1000:70+PPG700:30,2.4,67.0,67.0,0.013312972625111167,0.052022529628002745
WO_INV_0326,PPG1000:80+PPG400:20,2.0,68.0,61.0,0.01346674316035121,0.046973224844934894
WO_INV_0355,PPG1000:10+PPG700:90,1.7,69.0,70.0,0.013783976934738278,0.05445850220528946
WO_INV_0407,PPG1000:40+PPG700:60,2.1,70.0,58.0,0.013839888208911202,0.04648264091378465
WO_INV_0475,PPG1000:80+PPG700:20,2.5,71.0,75.0,0.01393233179318632,0.05609331285767344
WO_INV_0563,PPG2000:50+PPG400:50,1.7,73.0,77.0,0.014645091839845302,0.05774724407626771
WO_INV_0390,PPG1000:30+PPG700:70,2.0,74.0,62.0,0.014848691575433825,0.04789060532933606
WO_INV_0346,PPG1000:90+PPG400:10,2.4,75.0,76.0,0.015702365126599897,0.05626485798583403
WO_INV_0584,PPG2000:60+PPG400:40,2.2,76.0,72.0,0.016001473343074432,0.05570471979524906
WO_INV_0373,PPG1000:20+PPG700:80,1.9,77.0,66.0,0.01633739400225007,0.051806721311552104
WO_INV_0646,PPG2000:10+PPG700:90,2.0,79.0,68.0,0.016895384412170217,0.05435183892192379
WO_INV_0665,PPG2000:20+PPG700:80,2.3,80.0,81.0,0.01827228718365785,0.05947263971329049
WO_INV_0356,PPG1000:10+PPG700:90,1.8,81.0,80.0,0.01841914338851158,0.059382497442335855
WO_INV_0442,PPG1000:60+PPG700:40,2.4,82.0,79.0,0.018471369356380725,0.05926711240837695
WO_INV_0459,PPG1000:70+PPG700:30,2.5,83.0,83.0,0.01862083169618186,0.0630058535629544
WO_INV_0425,PPG1000:50+PPG700:50,2.3,84.0,74.0,0.018702012068359725,0.05601055573299259
WO_INV_0327,PPG1000:80+PPG400:20,2.1,86.0,71.0,0.018790612583116553,0.05493045407120744
WO_INV_0408,PPG1000:40+PPG700:60,2.2,87.0,69.0,0.01932404539350037,0.05438001074804148
WO_INV_0564,PPG2000:50+PPG400:50,1.8,88.0,84.0,0.01983179625268393,0.0633512287461179
WO_INV_0391,PPG1000:30+PPG700:70,2.1,89.0,73.0,0.020364323724023154,0.05598649158395352
WO_INV_0347,PPG1000:90+PPG400:10,2.5,90.0,91.0,0.021515343961402957,0.06783408665294884
WO_INV_0374,PPG1000:20+PPG700:80,2.0,92.0,78.0,0.021877941293941713,0.057923691631549964
WO_INV_0585,PPG2000:60+PPG400:40,2.3,93.0,90.0,0.021919894588040462,0.0673429578420425
WO_INV_0647,PPG2000:10+PPG700:90,2.1,94.0,82.0,0.02277432894355111,0.06295003498795224
WO_INV_0357,PPG1000:10+PPG700:90,1.9,95.0,87.0,0.023988086804253256,0.06517035148325222
WO_INV_0308,PPG1000:70+PPG400:30,1.8,96.0,93.0,0.02422917537828283,0.06986236823270557
