sample_id,polyol,A,B,eta120,r2,Ea_kJmol
C_44M_10,C,-18.18665667607931,6829.617013993108,0.44258325289883405,0.9986275281330664,56.784595359149044
C_44M_6,C,-18.842559314192236,7562.5525275272375,1.481766536809663,0.9987077513944252,62.87856028794551
C_44M_8,C,-18.500599129998523,7169.1427245060295,0.766848777534279,0.9979693737839924,59.607569187110656
C_MLQ_10,C,-18.28817297505887,6854.314427237256,0.4257837566006179,0.9982585354202026,56.98994107833259
C_MLQ_4,C,-22.638503607011415,9238.342855576577,2.362596718946247,0.9893104886410293,76.8118563263745
C_MLQ_6,C,-18.991627145863582,7577.465804134997,1.325911226038509,0.9971016779742367,63.00255616881491
C_MLQ_8,C,-18.53614753974899,7152.34895030277,0.7091203548735868,0.9984209224531627,59.467937979279945
D_44M_10,D,-17.85905050132676,6217.0865851541475,0.12931196557596678,0.9960429995358039,51.691734006086136
D_44M_4,D,-20.031356916859497,7770.676281684548,0.7662952883223246,0.9958419367616784,64.60899746183618
D_44M_6,D,-15.080737248880723,6145.23962660743,1.7333203707473934,0.9281373344480484,51.09436515502145
D_44M_8,D,-18.331139582598233,6589.699423109878,0.20807555721888912,0.9964536621754164,54.78980951831305
D_I_5,D,-20.81279315657394,7568.619341414214,0.20980692734133147,0.9899503444326326,62.929002585220076
D_I_9,D,-18.433822448412222,6418.699595279268,0.1215432721512193,0.9912372008007038,53.3680378421048
D_MLQ_10,D,-17.441929165860394,6089.336906407301,0.14179897488816123,0.9916451242836875,50.6295640776644
D_MLQ_4,D,-18.74407136057674,7188.180160251432,0.6309585813645248,0.9943481478909567,59.76585523496129
D_MLQ_6,D,-18.98442556510699,7007.729291496059,0.31353114030848683,0.9952655211972009,58.26550323228147
D_MLQ_8,D,-18.17113972067388,6529.155628983393,0.20932842981809352,0.9935887179049424,54.286420405287224
D_TD80_10,D,-18.26605019161857,6247.32973351582,0.09295851771871744,0.9965987827807006,51.94318953259453
D_TD80_7,D,-32.53298717282184,11324.038037845543,0.024001602823831104,0.8527244839593521,94.15329095221212
D_W_5,D,-19.133138329520122,7074.577158945053,0.32028697128368644,0.9968361904379724,58.8213073272894
D_W_9,D,-18.42223089212684,6394.043831232222,0.1154859096744217,0.9886668267193236,53.163038413613634
P_44M_10,P,-13.637880942762324,4756.370396929242,0.21442936743562718,0.9977588263016955,39.546663863358866
P_44M_4,P,-13.19772607017916,5360.457481195568,1.547917979622192,0.997419039702603,44.56932334360042
P_44M_6,P,-13.589821628954143,4933.9761345642055,0.3534670538901043,0.9975823865462926,41.023360129694304
P_44M_8,P,-13.515490955494233,4808.701086249438,0.2768501952333721,0.9977475241515854,39.98176542349383
P_I_5,P,-13.259779544915821,4717.946571049898,0.28382235903385733,0.9988981218870918,39.22719039943863
P_I_9,P,-13.805009347011582,4742.6252895226735,0.17519340001020375,0.9984573339177599,39.43238068164445
P_MLQ_10,P,-12.987960448752505,4552.65518024162,0.2446281568284096,0.9915121515594907,37.85288130946064
P_MLQ_4,P,-12.763213335785384,5115.447172757432,1.2817489159583473,0.9967001076270845,42.53219429302934
P_MLQ_6,P,-12.893145162348661,4950.9980198849535,0.740823872341843,0.9935330249694975,41.16488795888415
P_MLQ_8,P,-13.198212055301639,4760.398181647062,0.33626320047483726,0.9949841250087658,39.580152728829155
P_TD80_10,P,-13.70237919348826,4666.543239402843,0.15997243506681225,0.9978770683871899,38.79979932001066
P_TD80_4,P,-13.46531729825123,4956.507674200413,0.42394549596624176,0.9985508835081889,41.210697773728995
P_TD80_7,P,-13.77863835052975,4812.9472431336535,0.21510569276738722,0.9984251150919956,40.01706993617845
P_TDS_10,P,-13.323921960181124,4581.915008824448,0.18833116005188102,0.9824918984405664,38.09616106042614
P_TDS_4,P,-13.683749650834194,4991.141375434115,0.3721382370274518,0.997913928767786,41.49865838796489
P_TDS_7,P,-13.390948104963536,4695.687212023346,0.23522958756132184,0.9941743643656711,39.04211579090831
P_W_5,P,-12.686215391164335,4177.699578225377,0.12745494154713632,0.9979241869088146,34.73532697302946
P_W_9,P,-13.21033182842956,4286.303155270271,0.09947297607705516,0.9976762534022225,35.638307354566955
