pair,iso,pNCO,ratio80,ratio120,amplification,delta_Ea
44M-6%,44M,6.0,8.939606008221226,4.192092361938649,2.132492616190133,21.855200158251208
44M-8%,44M,8.0,5.467683977380789,2.7699051354753803,1.9739607351001958,19.625803763616823
44M-10%,44M,10.0,3.750726305140801,2.0640048431411797,1.8172080930937273,17.23793149579018
MLQ-4%,MLQ,4.0,6.045656057818578,1.843260165490184,3.279871268856308,34.279662033345154
MLQ-6%,MLQ,6.0,3.814373231490629,1.7897792924074207,2.1311975435585357,21.83766820993076
MLQ-8%,MLQ,8.0,4.200698796091161,2.108825330491823,1.9919614656333193,19.88778525045079
MLQ-10%,MLQ,10.0,3.378051776319133,1.740534540753119,1.940812834922236,19.13705976887195
