source_candidate_id,nco_oh,mdi_parts,mdi_fraction_total,simulated_eta_80c_pa_s,simulated_eta_120c_pa_s,simulated_ratio_80c_120c,property_score,robust_score,feasible_nominal,feasible_robust
WO_INV_0417,1.5,45.58125,0.313098355729189,3.6098575089,0.4549536827,7.9345604746,0.0013204142230948464,0.027513999893566735,False,False
WO_INV_0418,1.6,48.62,0.32714304938770017,3.5167190341,0.4371146937,8.0453004324,0.00022489450130321956,0.020900549762860425,False,False
WO_INV_0419,1.7,51.65875,0.34062492272948314,3.4259836391,0.4199751814,8.1575859501,6.315176289868768e-05,0.017854754394503375,False,False
WO_INV_0420,1.8,54.697500000000005,0.3535771424877584,3.3375893216,0.403507719,8.2714385985,0.0008351860112308893,0.021897294012576327,True,True
WO_INV_0421,1.9,57.73625,0.3660303195999652,3.2514756792,0.387685955,8.3868802495,0.0025409972487003764,0.026668858100256994,True,True
WO_INV_0422,2.0,60.775,0.37801275073860985,3.1675838677,0.3724845713,8.5039330803,0.005180585468391704,0.03216944664223154,True,True
WO_INV_0423,2.1,63.81375,0.38955063295968745,3.0858565615,0.3578792423,8.6226195777,0.008753950685966719,0.03839905966870999,True,True
WO_INV_0424,2.2,66.8525,0.40066825489579116,3.0062379137,0.3438465965,8.742962542,0.01326109288256663,0.04535769714487605,True,True
WO_INV_0425,2.3,69.89124999999999,0.4113881674306357,2.9286735186,0.3303641786,8.8649850921,0.018702012068359725,0.05601055573299259,True,True
WO_INV_0426,2.4,72.92999999999999,0.42173133637888155,2.8531103741,0.3174104139,8.9887106694,0.02507670823006985,0.06784898381532617,True,True
WO_INV_0427,2.5,75.96875,0.43171727934647486,2.7794968456,0.3049645736,9.1141630424,0.032385181367332774,0.08087298139225303,True,True
WO_INV_0428,2.6,79.00750000000001,0.44136418865131355,2.7077826308,0.2930067416,9.2413663114,0.04062743152240937,0.09508254852005832,False,False
WO_INV_0429,2.7,82.04625000000001,0.4506890419330253,2.6379187252,0.2815177829,9.3703449132,0.049803458668385786,0.11047768516263312,False,False
WO_INV_0430,2.8,85.085,0.4597077018667099,2.5698573887,0.2704793128,9.5011236253,0.05991326275064464,0.12705839124846552,False,False
WO_INV_0431,2.9,88.12375,0.46843500621266587,2.503552113,0.2598736672,9.6337275714,0.07095684388322175,0.14482466692488818,False,False
WO_INV_0432,3.0,91.1625,0.4768848492774472,2.4389575896,0.249683875,9.7681822256,0.08293420194187712,0.1637765120343161,False,False
